,Institution,Subject,Degree_type_and_admission_semester,Accept_or_reject,Method_of_communication,Date,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,Student_classification,Date_posted,Comments,American,Papers,Research,Decision
2231,Southern Methodist University ( SMU ),Physics,PhD (F16),Wait listed, E-mail,7 Apr 2016,3.3,154.0,170.0,3.0,660.0,I,7 Apr 2016,"My last and only chance. Those outstanding candidates who already got accepted, I wish you good luck to get other better offers and then decline this one.",0,0.0,0.0,0
2233,University Of Pennsylvania,Physics,PhD (F16),Rejected, E-mail,7 Apr 2016,3.89,156.0,170.0,4.0,990.0,U,7 Apr 2016,"Well, no offer now",0,0.0,0.0,0
2234,University Of Pennsylvania (UPenn),Physics & Astronomy,PhD (F16),Rejected, E-mail,7 Apr 2016,4.0,164.0,170.0,4.0,720.0,A,7 Apr 2016,,1,0.0,0.0,0
2235,Montana State University (MSU),Physics,PhD (F16),Accepted, E-mail,6 Apr 2016,3.44,168.0,152.0,4.0,630.0,A,7 Apr 2016,Research experience on 2 projects - observational astronomy w/ Hubble images of a galaxy and computational neutrino astrophysics. No published papers. Applied to work on general relativity/compact objects/high energy astrophysics..,1,1.0,0.0,1
2237,Boston College,Physics,PhD (F16),Wait listed, E-mail,7 Apr 2016,3.36,164.0,161.0,4.5,610.0,A,7 Apr 2016,"Anyone waiting to hear from BC should know that all acceptance letters have been sent out, so if you have not heard from them you are either wait listed like me or rejected",1,0.0,0.0,0
2240,UMass Amherst / University Of Massachusetts Amherst,Physics,PhD (F16),Wait listed, E-mail,6 Apr 2016,3.67,150.0,170.0,3.0,830.0,U,6 Apr 2016,"Applied for HEP-TH. My top choice and I have to answer another program in few days. So PLEASE DECLINE your offer if you are not attending, THANK YOU VERY MUCH!!!",0,0.0,0.0,0
2241,University Of Illinois At Urbana-Champaign (UIUC),Physics,PhD (F16),Accepted, E-mail,6 Apr 2016,3.86,166.0,170.0,5.0,990.0,I,6 Apr 2016,,0,0.0,0.0,1
2242,Northwestern University,Physics,PhD (F16),Wait listed, E-mail,5 Apr 2016,4.0,170.0,168.0,5.0,990.0,U,6 Apr 2016,"If you have already been accepted and will not be attending Northwestern Univ., please decline. This is the last time I ask you, so please,,,,, .",0,0.0,0.0,0
2243,University Of Pennsylvania,Physics,PhD (F16),Wait listed, E-mail,5 Apr 2016,3.89,156.0,170.0,4.0,990.0,U,5 Apr 2016,"If you have a better place to go, please decline your offer. Currently I have no offer...",0,0.0,0.0,0
2244,Northwestern University,Physics & Astronomy,PhD (F16),Other, E-mail,5 Apr 2016,3.2,150.0,157.0,3.5,700.0,I,5 Apr 2016,"Asking me if I wanted to switch over to the MS program (obv. non funded). 
PS: For all those waiting, all of you are waitlisted. They will finalize their decisions before/latest by 15th April.",0,0.0,0.0,0
2245,Northwestern Uniersity,Physics,PhD (F16),Wait listed, E-mail,5 Apr 2016,3.89,156.0,170.0,4.0,990.0,U,5 Apr 2016,Waitlisted. Please decline your offer if you have a better choice. Now I really have no PhD offer...,0,0.0,0.0,0
2246,Rutgers (State University Of New Jersey) New Brunswick,Physics,PhD (F16),Rejected, E-mail,5 Apr 2016,3.2,164.0,170.0,3.5,740.0,I,5 Apr 2016,"Applied for CMT. Got this rude email from secretary after emailing her a million times: ""If you have received offers from other institutions you may want to accept their offer.""
-_-
",0,0.0,0.0,0
2247,"University Of California, Irvine  (UCI)",Physics & Astronomy,PhD (F16),Rejected, E-mail,5 Apr 2016,3.2,150.0,157.0,3.5,700.0,I,5 Apr 2016,9/147 international students accepted,0,0.0,0.0,0
2248,University Of Texas At Austin,Physics,PhD (F16),Rejected, E-mail,5 Apr 2016,3.61,161.0,163.0,2.0,990.0,I,5 Apr 2016,Expected. (HET-th),0,0.0,0.0,0
2249,University Of California Irvine (UC Irvine),Physics,PhD (F16),Rejected, E-mail,4 Apr 2016,3.89,156.0,170.0,4.0,990.0,U,4 Apr 2016,No position. Very polite rejection letter.,0,0.0,0.0,0
2250,"Kellog, Northwestern University",Physics,PhD (F16),Accepted, Other,3 Apr 2016,4.0,160.0,150.0,3.0,750.0,I,3 Apr 2016,"Excited as hell.

dream school after kentucky fried chicken",0,0.0,0.0,1
2251,University Of Delaware,Physics,PhD (F16),Accepted, E-mail,1 Apr 2016,3.0,165.0,140.0,3.0,790.0,U,1 Apr 2016,26800$/year stipend + tuition waiver,0,0.0,0.0,1
2253,National Defense Science And Engineering Graduate (NDSEG) Fellowship,Physics,PhD (F16),Rejected, E-mail,1 Apr 2016,3.99,165.0,166.0,4.0,970.0,A,1 Apr 2016,Did receive NSF GRF though.,1,0.0,0.0,0
2254,Washington State Univeristy,Physics,PhD (F16),Rejected, E-mail,31 Mar 2016,3.78,148.0,163.0,3.0,990.0,I,31 Mar 2016,,0,0.0,0.0,0
2255,Montana State University,Physics,PhD (F16),Accepted, E-mail,30 Mar 2016,3.6,165.0,164.0,4.0,550.0,A,30 Mar 2016,E-mail telling me a decision had been made,1,0.0,0.0,1
2256,NSF Graduate Research Fellowship Program (GRFP),Physics,PhD (F16),Rejected, Website,29 Mar 2016,3.6,160.0,163.0,4.0,800.0,A,29 Mar 2016,"VG/E, G/E, G/E.
1st: ""likelihood of a successful career as a physicist""
2nd: ""Good application....average grades""
3rd: ""application is competitive""",1,0.0,0.0,0
2261,Montana State University,Physics,PhD (F16),Accepted, E-mail,28 Mar 2016,3.7,160.0,155.0,4.0,540.0,A,28 Mar 2016,LIGO research.,1,0.0,1.0,1
2262,University Of Texas At Austin,Physics PhD,PhD (F16),Rejected, Website,28 Mar 2016,3.8,146.0,162.0,3.0,790.0,I,28 Mar 2016,,0,0.0,0.0,0
2263,Connecticut (UConn),Physics,PhD (F16),Rejected, E-mail,23 Mar 2016,3.0,153.0,156.0,3.0,630.0,A,25 Mar 2016,"Grad GPA: 3.13, has anyone received an acceptance offer?",1,0.0,0.0,0
2265,TAMU (Texas A&M Univercity),Physics,PhD (F16),Other, Other,24 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,24 Mar 2016,"To the tamu poster below: I applied to HEP-th. Additionally, my undergrad's major GPA is 3.95/4.0, masters GPA: 4.0/4.0, one SCI paper as 2nd author in the field of Particle theory. Of course, many honors and scholarships as well as I have participated in a lot of summer and winter schools for theoretical physics including particle physics. I thought that TAMU is my safety school but I could not get the offer. Damm....",0,1.0,0.0,0
2266,Duke University,Physics,PhD (F16),Wait listed, Website,23 Mar 2016,3.89,156.0,170.0,4.0,990.0,U,24 Mar 2016,Apply to experimental condensed matter,0,0.0,0.0,0
2267,University Of Minnesota Twin Cities,Physics,PhD (F16),Wait listed, Website,24 Mar 2016,3.45,148.0,170.0,3.0,990.0,I,24 Mar 2016,"Please decline the admission, if you got offer from better place. This is my last chance. Thanks.",0,0.0,0.0,0
2268,Duke University,Physics,PhD (F16),Wait listed, E-mail,23 Mar 2016,3.9,149.0,170.0,3.5,990.0,I,24 Mar 2016,"@asker below, I chose ""Quantum Optics & Information"" in the applyyourself system.",0,0.0,0.0,0
2269,Washington State University (pullman),Physics,PhD (F16),Accepted, E-mail,23 Mar 2016,3.7,160.0,155.0,4.0,540.0,A,23 Mar 2016,LIGO research.,1,0.0,1.0,1
2270,The College Of William & Mary,Physics,PhD (F16),Accepted, Phone,22 Mar 2016,3.87,160.0,164.0,4.5,670.0,A,23 Mar 2016,Informed via phone call that I had been accepted from the Waitlist. They may or may not offer 1 more spot to someone else as well.,1,0.0,0.0,1
2271,Duke University,Physics,PhD (F16),Wait listed, E-mail,23 Mar 2016,3.9,149.0,170.0,3.5,990.0,I,23 Mar 2016,being told that I am on the waitlist by e-mail. Please decline Duke if you have got better offers. Thank you very much!,0,0.0,0.0,0
2273,à¸µUniversity Of Central Florida,Physics,PhD (F16),Accepted, E-mail,14 Mar 2016,4.0,152.0,160.0,3.0,810.0,I,22 Mar 2016,Although no information on funding!! Has anyone heard anything about funding from UCF?,0,0.0,0.0,1
2274,Columbia  University,Applied Physics (SEAS),PhD (F16),Rejected, E-mail,22 Mar 2016,3.89,156.0,170.0,4.0,990.0,U,22 Mar 2016,Low GRE verbal,0,0.0,0.0,0
2276,Columbia University (GSAS),Physics,PhD (F16),Rejected, E-mail,22 Mar 2016,3.71,159.0,168.0,4.5,990.0,I,22 Mar 2016,,0,0.0,0.0,0
2277,Duke Univeraity,Physics,PhD (F16),Wait listed, E-mail,22 Mar 2016,3.3,156.0,169.0,3.0,830.0,I,22 Mar 2016,Upon email inquiry. Hep-ex.,0,0.0,0.0,0
2280,UIUC (University Of Illinois Urbana-Champaign),Physics,PhD (F16),Rejected, E-mail,19 Mar 2016,3.87,161.0,164.0,5.0,750.0,A,19 Mar 2016,"I'm kind of bummed, but I'll be alright.",1,0.0,0.0,0
2281,The University Of Illinois At Urbana-Champaign (UIUC),Physics,PhD (F16),Rejected, E-mail,19 Mar 2016,3.85,155.0,167.0,4.0,810.0,A,19 Mar 2016,Applied for CMT.,1,0.0,0.0,0
2282,University Of California Irvine (UCI),Physics,PhD (F16),Other, E-mail,19 Mar 2016,3.5,168.0,154.0,3.0,650.0,I,19 Mar 2016,"Hey guys, I emailed them yesterday and they told me that decision letters will be send out within the next two weeks. But I guess I might get another rejection since my pGRE score is pretty low.:(",0,0.0,0.0,0
2283,University Of Delaware,Physics,PhD (F16),Accepted, E-mail,3 Mar 2016,2.27,159.0,167.0,4.0,820.0,I,19 Mar 2016,"Had a better offer, already declined.
Good for fellas on wait-list!",0,0.0,0.0,1
2284,University Of Minnesota Twin Cities,Physics,PhD (F16),Other, E-mail,19 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,19 Mar 2016,"To all the applicants on the wait list at Minnesota: I've just got this reply. Professor Joseph Kapusta told me that ""You are on the waitlist.  We won't know if we will make an offer to anyone on the waitlist until after April 11."" We have to await until after April 11. I hope to be with the Best of luck!!!
",0,0.0,0.0,0
2285,University Of Minnesota Twin Cities,Physics,PhD (F16),Wait listed, Website,18 Mar 2016,3.4,150.0,162.0,3.5,840.0,A,18 Mar 2016,3.8 masters GPA,1,0.0,0.0,0
2286,Brown,Physics,PhD (F16),Rejected, E-mail,18 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,18 Mar 2016,Expected,0,0.0,0.0,0
2289,Brown Univerisity,Physics,PhD (F16),Rejected, E-mail,18 Mar 2016,3.4,150.0,162.0,3.5,840.0,A,18 Mar 2016,3.8 masters GPA. Probably would not have attended anyway,1,0.0,0.0,0
2290,Pennsylvania State (Penn State),Physics,PhD (F16),Rejected, E-mail,18 Mar 2016,3.6,155.0,170.0,3.0,660.0,I,18 Mar 2016,No offer and here goes the 4th rejection.,0,0.0,0.0,0
2291,Ohio State (OSU),Physics,PhD (F16),Rejected, E-mail,18 Mar 2016,3.3,156.0,169.0,3.0,830.0,I,18 Mar 2016,Rude rejection. Hep-ex. Got accepted to better schools.,0,0.0,0.0,0
2292,Texas A And M (TAMU),Physics,PhD (F16),Other, Other,18 Mar 2016,3.0,153.0,156.0,3.0,820.0,I,18 Mar 2016,"Any news from TAMU, Kentucky and Arizona State University? TAMU and Kentukcy have sent a few acceptances this year but there are no updates on my profile and they are not replying to my emails. Arizona State hasn't yet sent letters of acceptance apart from one post here. It will be helpful if someone can inform me about these universities when are going to update.",0,0.0,0.0,0
2293,University Of Minnesota Twin Cities,Physics (HET),PhD (F16),Wait listed, Website,18 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,18 Mar 2016,"Through checking the website, I have found an official decision letter about my application status saying that the Minnesota Physics faculty have placed me on the alternate list for admission. They said that if any of applicants admitted do not accept the offer, I will be admitted to fill the openings. Please decline ASAP if you are not planning to attend Minnesota and have better offers from other schools.",0,0.0,0.0,0
2294,Ohio University (Athens),Physics & Astronomy,PhD (F16),Rejected, E-mail,18 Mar 2016,3.2,150.0,157.0,3.5,700.0,I,18 Mar 2016,"""Your application was not as strong as others under consideration""",0,0.0,0.0,0
2295,Brandeis University,Physics,PhD (F16),Accepted, E-mail,7 Mar 2016,3.75,164.0,168.0,4.0,820.0,A,18 Mar 2016,"Applied for CMT. 3.5 years of experimental research experience, a good number of conference presentations and two papers in the works. Will be attending!",1,1.0,1.0,1
2296,University Of Chicago,Physics,PhD (F16),Rejected, E-mail,19 Feb 2016,3.75,164.0,168.0,4.0,820.0,A,18 Mar 2016,"Applied for CMT. Had a bunch of research experience and conference presentations. Two papers in the works, one in experiment and the other in theory. I thought I had a decent chance, but alas.",1,1.0,1.0,0
2297,Massachusetts Institute Of Technology,Physics,PhD (F16),Rejected, Website,16 Feb 2016,3.75,164.0,168.0,4.0,820.0,A,18 Mar 2016,"Applied for CMT. Tons of research experience, and great recs. I was optimistic, but ah well.",1,0.0,1.0,0
2298,Harvard University,Physics,PhD (F16),Rejected, E-mail,24 Feb 2016,3.75,164.0,168.0,4.0,820.0,A,18 Mar 2016,"Applied for CMT. I had 3.5 years of experience in experimental condensed matter, with a bunch of conference presentations and two papers in the works (one in experiment, one in theory). Not too surprising, but I was optimistic.",1,1.0,0.0,0
2299,Florida International University (FIU),Physics,PhD (F16),Accepted, E-mail,17 Mar 2016,3.7,153.0,164.0,3.5,780.0,I,17 Mar 2016,,0,0.0,0.0,1
2300,The Pennsylvania State University (Penn State),Physics,PhD (F16),Rejected, E-mail,17 Mar 2016,3.98,162.0,170.0,3.5,900.0,I,17 Mar 2016,9th rejection. Nothing to say.. just want to die...,0,0.0,0.0,0
2302,University Of Minnesota At Twin Cities,Physics,PhD (F16),Other, Other,16 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,16 Mar 2016,"To the minnesota poster below, Have you recieved the official email saying that you are on a wait list from the Physics Department? Actually, I am also waitlisted for admission to the PhD program in the field of High Energy Theory. However, I was just able to know this through inquiry to check my status. I have got any email about either rejection or waiting list.",0,0.0,0.0,0
2303,"University Of Kentucky, Lexington",Physics,PhD (F16),Other, Other,16 Mar 2016,2.9,151.0,157.0,3.0,820.0,I,16 Mar 2016,Really worried haven't heard from this university. They haven't replied to my emails too. Applied to theoretical high energy physics and CMT. Can anyone inform me if not hearing from graduate admissions means a reject at this stage,0,0.0,0.0,0
2305,University Of Florida,Physics,PhD (F16),Rejected, E-mail,15 Mar 2016,3.98,162.0,170.0,3.5,900.0,I,15 Mar 2016,"Oh my...
I never imagined that even they would reject me...
I might have to quit physics...",0,0.0,0.0,0
2307,Florida State Univeristy (FSU),Physics,PhD (F16),Rejected, Website,15 Mar 2016,3.7,140.0,166.0,3.0,980.0,I,15 Mar 2016,Really nothing to say:-(( Sad!,0,0.0,0.0,0
2308,Purdue University West Lafayette,Physics,PhD (F16),Accepted, E-mail,12 Feb 2016,3.3,145.0,165.0,3.0,840.0,I,12 Mar 2016,,0,0.0,0.0,1
2310,TAMU (Texas A&M University),Physics,PhD (F16),Other, Other,12 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,12 Mar 2016,"To the TAMU poster below, I actually have tried to email some people at TAMU, but I have not got any responses from them. Please let me know the electronic address that you have used to email him or her.",0,0.0,0.0,0
2311,University Of Pennsylvania (UPenn),Physics,PhD (F16),Other, E-mail,12 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,12 Mar 2016,"Graduate Chair in the Physics Dept. at UPenn said that ""Thank you. You have not been accepted in our first round of admitted students. We will finalize all decisions and send out all letters in April and let you know. Thank you for your patience. We didn't make a wait list.  If we do accept additional students it's going to be a very small number. Sorry I cannot be more definite. You will get a definite letter very soon.""",0,0.0,0.0,0
2313,Virginia Polytechnic Institute And State University (Virginia Tech),Physics,PhD (F16),Other, Other,11 Mar 2016,3.0,153.0,159.0,4.0,850.0,I,11 Mar 2016,To the Virginia tech post below: what do you mean by they have taken only one student this year?? In which field??? Can you share your scores here??,0,0.0,0.0,0
2314,University Of Texas - Austin (UT Austin),Physics,PhD (F16),Accepted, E-mail,10 Mar 2016,3.83,165.0,170.0,4.0,990.0,I,11 Mar 2016,Complex systems. $18k/9mo +Tuition waiver+ insurance.,0,0.0,0.0,1
2315,Rutgers (State University Of New Jersey) New Brunswick,Physics & Astronomy,PhD (F16),Other, Other,11 Mar 2016,3.2,150.0,157.0,3.5,700.0,I,11 Mar 2016,"To the poster below. I have been waitlisted as well. When emailed to inquire about my application status, they replied: ""blah blah... waitlisted...I can give you more information on your application status in about 3-4 weeks."" So expect the second round to start in April beginning or so...",0,0.0,0.0,0
2316,Rutgers (State University Of New Jersey) New Brunswick,Physics,PhD (F16),Other, Other,11 Mar 2016,3.2,164.0,170.0,3.5,740.0,I,11 Mar 2016,To the people accepted - what is the deadline for accepting/declining your offers? I want to know when they'll start the second round.,0,0.0,0.0,0
2317,"University Of Kentucky, Lexington",Physics,PhD (F16),Other, Other,11 Mar 2016,3.0,153.0,156.0,4.0,810.0,I,11 Mar 2016,Haven't heard from Kentucky. I have emailed but still got no replies. They have rolling admissions but I was informed that they will notify me within a month. Does that mean I have been rejected,0,0.0,0.0,0
2321,Dartmouth College,Physics,PhD (F16),Accepted, E-mail,8 Mar 2016,2.1,158.0,168.0,2.5,960.0,U,10 Mar 2016,"Grad GPA: 4.0
Admitted off of waitlist. Super excited!",0,0.0,0.0,1
2322,California Riverside University (UCR),Physics & Astronomy,PhD (F16),Rejected, Other,10 Mar 2016,3.2,150.0,157.0,3.5,700.0,I,10 Mar 2016,Rejected upon enquiry,0,0.0,0.0,0
2323,University Of Florida,Physics,PhD (F16),Other, E-mail,10 Mar 2016,3.98,162.0,170.0,3.5,900.0,I,10 Mar 2016,"They just said ""We hope to provide final decisions in the newxt two weeks"".",0,0.0,0.0,0
2324,"California, Santa Barbara (UCSB)",Physics,PhD (F16),Rejected, E-mail,9 Mar 2016,3.83,165.0,170.0,4.0,990.0,I,9 Mar 2016,,0,0.0,0.0,0
2326,(Arizona State University) ASU,Physics,PhD (F16),Other, Other,9 Mar 2016,3.0,153.0,159.0,4.0,810.0,I,9 Mar 2016,To the Arizona post below: Do you have publications??,0,1.0,0.0,0
2327,Rutgers (State University Of New Jersey) New Brunswick,Physics & Astronomy,PhD (F16),Other, Other,9 Mar 2016,3.2,150.0,157.0,3.5,700.0,I,9 Mar 2016,To the poster below: X-ray/high energy astrophysics,0,0.0,0.0,0
2328,Rutgers (State University Of New Jersey) New Brunswick,Physics,PhD (F16),Other, Other,9 Mar 2016,3.2,164.0,170.0,3.5,740.0,I,9 Mar 2016,To the Rutgers poster waitlisted below: can you please share your field of interest?,0,0.0,0.0,0
2330,"University Of California, Los Angeles (UCLA)",Physics,PhD (F16),Rejected, Website,9 Mar 2016,4.0,161.0,167.0,3.5,930.0,I,9 Mar 2016,Got better offers!!,0,0.0,0.0,0
2331,"The University Of California, Los Angeles (UCLA)",Physics,PhD (F16),Rejected, E-mail,9 Mar 2016,4.0,157.0,167.0,4.0,900.0,I,9 Mar 2016,"UC's should say that we just want your money. After that, we are going to reject you if you are an international student.",0,0.0,0.0,0
2332,(Arizona State University) ASU,Physics,PhD (F16),Other, Other,9 Mar 2016,3.0,150.0,155.0,3.0,820.0,I,9 Mar 2016,Can you share your scores and your field of interest?? When did you see the change in your status???,0,0.0,0.0,0
2333,TAMU (Texas A&M University),Physics & Astronomy,PhD (F16),Accepted, E-mail,7 Mar 2016,3.23,149.0,160.0,3.0,800.0,I,9 Mar 2016,,0,0.0,0.0,1
2335,(Arizona State University) ASU,Physics,PhD (F16),Other, Other,9 Mar 2016,3.0,150.0,155.0,4.0,820.0,I,9 Mar 2016,Anybody heard from this University?,0,0.0,0.0,0
2336,à¸µUniversity Of Florida,Physics And Astronomy,PhD (F16),Rejected, Other,8 Mar 2016,3.8,166.0,152.0,3.0,770.0,I,9 Mar 2016,Rejected upon inquiry,0,0.0,0.0,0
2337,Univeristy Of Alberta,Physics,PhD (F16),Rejected, E-mail,8 Mar 2016,3.1,150.0,162.0,3.0,730.0,I,8 Mar 2016,,0,0.0,0.0,0
2338,University Of New Hampshire,Physics,PhD (F16),Accepted, Website,8 Mar 2016,3.6,165.0,164.0,4.0,550.0,A,8 Mar 2016,"UNH is putting up their decisions, everyone! No notifications yet, but check Webcat.",1,0.0,0.0,1
2339,Rutgers (State University Of New Jersey) New Brunswick,Physics & Astronomy,PhD (F16),Wait listed, Other,8 Mar 2016,3.2,150.0,157.0,3.5,700.0,I,8 Mar 2016,Waitlisted upon enquiry via email,0,0.0,0.0,0
2340,Notre Dame,Physics,PhD (F16),Rejected, E-mail,8 Mar 2016,3.87,164.0,160.0,4.5,670.0,A,8 Mar 2016,"Emailed to check status, was told that they were unable to accept my application because they accepted a large class last year and were accepting a smaller class this year.",1,0.0,0.0,0
2341,University Of Maryland - College Park,Chemical Physics,PhD (F16),Rejected, Website,8 Mar 2016,3.1,150.0,162.0,3.0,730.0,I,8 Mar 2016,"Master GPA 3.8
Big surprise! 3 pubs! 

to the poster below: how was your GPA and test scores?",0,1.0,0.0,0
2342,The University Of Notre Dame,Physics,PhD (F16),Rejected, Website,8 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,8 Mar 2016,Damm.......,0,0.0,0.0,0
2343,TAMU (Texas A&M University),Physics,PhD (F16),Other, Other,8 Mar 2016,3.61,161.0,163.0,2.0,990.0,I,8 Mar 2016,Are there international applicants who are admitted to the Physics PhD program in the field of High Energy Theory (HET) at TAMU? I have not yet heard any news about my admission status from them. (I applied to HET.),0,0.0,0.0,0
2344,Notre Dame University,Physics,PhD (F16),Rejected, Website,7 Mar 2016,3.8,152.0,166.0,3.0,770.0,I,8 Mar 2016,,0,0.0,0.0,0
2345,TAMU (Texas A&M University),Physics,PhD (F16),Accepted, E-mail,8 Mar 2016,4.0,155.0,159.0,3.5,810.0,I,8 Mar 2016,"Nine month TA, 18k+tution waiver+2k fellowship, i am attending :)",0,0.0,0.0,1
2346,JHU (Johns Hopkins),Physics,PhD (F16),Wait listed, E-mail,7 Mar 2016,4.0,161.0,164.0,4.5,890.0,A,8 Mar 2016,Astro/Cosmology.,1,0.0,0.0,0
2347,TAMU (Texas A & M University),Physics,PhD (F16),Other, Other,8 Mar 2016,3.0,153.0,159.0,4.0,850.0,I,8 Mar 2016,To the TAMU post below. What is you field of interest???,0,0.0,0.0,0
2348,à¸µUniversity Of Florida,Physics,PhD (F16),Accepted, E-mail,8 Mar 2016,3.8,170.0,158.0,3.0,990.0,I,8 Mar 2016,$23000,0,0.0,0.0,1
2349,TAMU (Texas A&M University),Physics,PhD (F16),Accepted, E-mail,8 Mar 2016,3.8,170.0,158.0,3.0,990.0,I,8 Mar 2016,will decline later?,0,0.0,0.0,1
2350,Ohio State University,Physics,PhD (F16),Wait listed, E-mail,7 Mar 2016,3.86,160.0,164.0,4.5,670.0,A,7 Mar 2016,Email to check status,1,0.0,0.0,0
2351,University Of Florida,Physics,PhD (F16),Accepted, E-mail,7 Mar 2016,3.86,160.0,164.0,4.5,670.0,A,7 Mar 2016,Email to check on status,1,0.0,0.0,1
2352,University Of Delawareaware,Physics,PhD (F16),Accepted, E-mail,3 Mar 2016,3.4,150.0,162.0,3.5,840.0,A,7 Mar 2016,3.8 Masters GPA ... will probably decline,1,0.0,0.0,1
2354,Kent State University,Physics,PhD (F16),Other, Other,7 Mar 2016,3.3,143.0,155.0,3.0,680.0,I,7 Mar 2016,To the Poster below accepted in kent state university I am also waiting for KSU. If you are not planning to join this university then please decline their offer as soon as possible. This University is my only hope this year.,0,0.0,0.0,0
2355,Pennsylvania State University(PSU),Physics,PhD (F16),Wait listed, Other,7 Mar 2016,3.7,153.0,170.0,3.0,640.0,I,7 Mar 2016,POI told me that I might be on the wait list. Anyone who got accepted but do not want to go to PSU please help decline your offer. My field of interest is particle astrophysics(experiment).,0,0.0,0.0,0
2356,Illinois At Urbana Champaign (UIUC),Physics,PhD (F16),Rejected, E-mail,7 Mar 2016,3.8,155.0,170.0,3.0,970.0,I,7 Mar 2016,,0,0.0,0.0,0
2357,Kent Sate University,Physics,PhD (F16),Accepted, E-mail,3 Mar 2016,4.0,155.0,167.0,3.0,670.0,I,7 Mar 2016,,0,0.0,0.0,1
2358,UC Berkeley,Physics,PhD (F16),Rejected, Website,6 Mar 2016,4.0,155.0,167.0,3.0,670.0,I,7 Mar 2016,,0,0.0,0.0,0
2359,Ohio State Uiversity,Physics,PhD (F16),Accepted, E-mail,23 Feb 2016,3.8,170.0,152.0,3.0,990.0,I,6 Mar 2016,"Sorry, I forgot to submit the result >",0,0.0,0.0,1
2360,UC Berkeley (UCB),Physics,PhD (F16),Rejected, E-mail,6 Mar 2016,3.97,167.0,170.0,5.0,880.0,A,6 Mar 2016,Oh well.,1,0.0,0.0,0
2361,UC Berkeley,Physics,PhD (F16),Rejected, E-mail,6 Mar 2016,3.85,155.0,167.0,4.0,810.0,A,6 Mar 2016,Email to check website. Applied for CMT.,1,0.0,0.0,0
2362,"UCSD University Of California, San Diegoles",Physics,PhD (F15),Rejected, E-mail,3 Mar 2016,3.93,151.0,166.0,3.5,750.0,U,5 Mar 2016,"I am already admitted to a better university, so the decision does not hurt.",0,0.0,0.0,0
2363,CU Boulder,Physics,PhD (F16),Rejected, E-mail,5 Mar 2016,3.93,151.0,166.0,3.5,750.0,U,5 Mar 2016,Already got in a better university so the decision does not hurt.,0,0.0,0.0,0
2365,San Diego UCSD,Physics,PhD (F16),Rejected, E-mail,5 Mar 2016,3.95,162.0,168.0,4.0,990.0,I,5 Mar 2016,,0,0.0,0.0,0
2366,UCSD,Physics,PhD (F16),Rejected, E-mail,5 Mar 2016,4.0,161.0,167.0,3.5,930.0,I,5 Mar 2016,,0,0.0,0.0,0
2367,Berkeley (UCB),Physics,PhD (F16),Accepted, E-mail,4 Mar 2016,3.88,168.0,165.0,4.5,790.0,A,5 Mar 2016,"AMO exp, female. I'm in shock and so happy. I thought all AMO people got offers based on all those March 1st admits. I really hope I don't get a ""this was a mistake email"" hehe...",1,0.0,0.0,1
2368,U Michigan Ann Arbor,Physics,PhD (F16),Other, Other,5 Mar 2016,3.86,156.0,164.0,5.0,680.0,A,5 Mar 2016,"In response to the person asking if I emailed U Mich first, I actually never inquired about my application. They emailed me today out of the blue. In fact, at first I did not know they required a mailed transcript, so mine was about 3 weeks late, arriving in late Jan. early Feb., and I also did not send my PGRE score, which might explain why it took so long for them to decide on me, but it seems a few others heard back today as well.",1,0.0,0.0,0
2370,Ohio Sate University,Physics,PhD (F16),Other, Other,5 Mar 2016,3.7,154.0,166.0,3.0,840.0,I,5 Mar 2016,What is going on at Ohio State...?. Is there any chance of getting any offers now,0,0.0,0.0,0
2371,The University Of Michigan Ann Arbor,Physics,PhD (F16),Wait listed, E-mail,5 Mar 2016,3.7,154.0,166.0,3.0,840.0,I,5 Mar 2016,"
If you have already got acceptance and is not planning to attend please decline your offer",0,0.0,0.0,0
2372,"University Of Kentucky, Lexington",Physics,PhD (F16),Other, Other,5 Mar 2016,3.0,153.0,159.0,4.0,850.0,I,5 Mar 2016,To the Kentucky post below. Did you inquire about your status?? I emailed them but got no reply. Does it mean I am rejected? Can you please share your scores and field of interest??,0,0.0,0.0,0
2373,University Of Michigan,Physics,PhD (F16),Accepted, E-mail,4 Mar 2016,4.0,158.0,167.0,4.0,850.0,A,5 Mar 2016,"Contacted by department chair saying the official acceptance would come Monday. was contacted by POI a few hours later. Never inquired about application status, but I did contact POI about my interest a month ago",1,0.0,0.0,1
2374,"University Of California, Berkeley",Physics,PhD (F16),Accepted, E-mail,4 Mar 2016,3.9,162.0,168.0,4.5,860.0,A,4 Mar 2016,"Just got an email today, so I guess they're still sending some out! Only other acceptance has been UCLA (my undergrad), so this was verrrrry surprising. Almost waiting for them to say it was a mistake! Very little true research experience in undergrad, but have been working as a physicist/engineer at a tech company since June 2015.",1,0.0,1.0,1
